t (s),V (mV)
0,14.5282
0.999,14.4929
2.004,14.4659
2.999,14.4443
3.999,14.4106
4.999,14.3823
6,14.3657
6.999,14.3368
7.999,14.3214
8.999,14.2881
9.999,14.2646
10.999,14.2395
11.999,14.214
12.999,14.1784
14.004,14.147
14.999,14.1295
15.999,14.0959
16.999,14.0737
17.999,14.0437
18.999,14.0136
20.004,13.981
20.999,13.9534
21.999,13.9367
23,13.9003
23.999,13.8839
24.999,13.8525
26,13.8269
26.999,13.7906
27.999,13.7663
28.999,13.7439
29.999,13.7215
31,13.703
32.004,13.6732
33,13.6421
33.999,13.6223
34.999,13.5915
35.999,13.5544
36.999,13.5481
38,13.5197
38.999,13.4975
39.999,13.4509
40.999,13.4287
41.999,13.408
42.999,13.3746
44,13.3561
44.999,13.3206
45.999,13.2909
46.999,13.2624
47.999,13.2377
48.999,13.2141
50.004,13.1916
50.999,13.1777
51.999,13.1637
52.999,13.1373
53.999,13.1021
54.999,13.1037
55.999,13.0642
56.999,13.0446
57.999,13.012
58.999,12.9658
59.999,12.9587
60.999,12.9251
61.999,12.9136
62.999,12.8846
63.999,12.8632
65,12.8493
65.999,12.816
67,12.7953
67.999,12.7624
68.999,12.7406
69.999,12.7177
71,12.7018
71.999,12.6676
72.999,12.651
74.004,12.6187
74.999,12.6011
75.999,12.5786
76.999,12.5476
77.999,12.5156
78.999,12.4976
79.999,12.478
80.999,12.463
81.999,12.4039
82.999,12.4204
83.999,12.3836
84.999,12.3687
85.999,12.346
86.999,12.3102
87.999,12.2877
88.999,12.2709
89.999,12.2498
90.999,12.2194
92.004,12.198
92.999,12.1722
93.999,12.1491
94.999,12.1337
95.999,12.1071
96.999,12.084
97.999,12.0672
98.999,12.045
99.999,12.0226
100.999,11.9923
101.999,11.9768
102.999,11.922
103.999,11.9289
104.999,11.9113
105.999,11.8856
106.999,11.8805
107.999,11.8343
109,11.8082
109.999,11.7888
110.999,11.7838
111.999,11.7696
112.999,11.7363
113.999,11.7152
114.999,11.6939
116.005,11.6702
116.999,11.6425
118,11.6272
118.999,11.6145
119.999,11.5749
120.999,11.574
122.005,11.5306
122.999,11.5083
123.999,11.4982
124.999,11.4804
126,11.4631
126.999,11.4423
127.999,11.4187
128.999,11.3887
130,11.3862
130.999,11.3267
131.999,11.3479
133,11.3197
134.004,11.2952
134.999,11.2658
136,11.2392
136.999,11.227
137.999,11.202
138.999,11.1909
139.999,11.1831
140.999,11.1532
141.999,11.1202
142.999,11.1133
143.999,11.0748
144.999,11.0273
145.999,11.0211
146.999,11.0112
147.999,10.9822
148.999,10.9603
149.999,10.9307
151,10.9163
151.999,10.9054
152.999,10.8861
153.999,10.8696
154.999,10.8251
155.999,10.8215
156.999,10.8255
157.999,10.7909
159,10.7692
159.999,10.7603
160.999,10.7219
161.999,10.7248
163,10.6968
163.999,10.6729
165,10.6637
165.999,10.6147
166.999,10.6122
167.998,10.5978
169,10.5833
169.998,10.5647
170.998,10.547
171.998,10.5208
172.998,10.475
173.998,10.4861
174.998,10.4581
176.003,10.4275
176.998,10.4157
177.998,10.4062
178.998,10.3885
179.998,10.3557
180.998,10.3518
181.998,10.3258
182.999,10.3009
183.998,10.2914
184.998,10.2788
185.998,10.2483
186.998,10.214
188.003,10.2146
188.999,10.1812
189.998,10.1662
190.998,10.1519
191.998,10.1408
192.998,10.1195
194.004,10.0958
194.998,10.0667
195.998,10.0652
196.999,10.0424
197.998,10.0265
198.998,10.0012
200,9.9922
200.999,9.9793
201.999,9.9585
202.999,9.9357
203.999,9.9237
204.999,9.9097
205.999,9.89
206.999,9.8726
207.999,9.8447
208.999,9.8265
209.999,9.8056
210.999,9.7915
211.999,9.7698
212.999,9.751
214,9.735
214.999,9.7262
215.999,9.6925
216.999,9.6902
218.005,9.6571
218.999,9.6501
219.999,9.6321
220.999,9.6079
222,9.5992
222.999,9.5794
224.004,9.5595
224.999,9.5225
225.999,9.5226
226.999,9.5061
227.999,9.4866
229,9.4721
229.999,9.4619
230.999,9.4389
232,9.4201
232.999,9.3944
233.999,9.3741
234.999,9.3732
236,9.3463
236.999,9.3352
237.999,9.3203
238.999,9.2844
239.999,9.2757
240.999,9.2706
241.999,9.2512
242.999,9.2386
243.999,9.219
244.999,9.1803
245.999,9.1775
246.999,9.1622
247.999,9.1446
248.999,9.1095
249.999,9.1242
250.999,9.1042
251.999,9.0869
252.999,9.062
253.999,9.0419
254.999,9.0432
255.999,9.0112
256.999,8.9877
257.999,8.9817
258.999,8.9689
259.999,8.9576
260.999,8.9353
261.999,8.8949
262.999,8.9017
263.999,8.8404
264.999,8.849
265.999,8.8543
267,8.8237
267.999,8.8136
268.999,8.8103
269.999,8.7939
270.999,8.7772
271.999,8.7336
272.999,8.761
273.999,8.7452
274.999,8.7214
276,8.7094
276.999,8.6914
277.999,8.6665
279,8.6592
279.999,8.6369
280.999,8.6248
281.999,8.602
282.999,8.5711
283.999,8.5596
284.999,8.5487
285.999,8.5252
286.999,8.5081
287.999,8.5021
288.999,8.4768
289.999,8.4578
290.999,8.4506
291.999,8.4253
292.999,8.4226
293.999,8.4213
294.999,8.396
296,8.3888
296.999,8.3643
297.999,8.3541
299,8.3291
299.999,8.319
301,8.3069
301.999,8.3003
